@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2,3}

@data
57,'2019/05/08 13:53:41:254',58,-0.473744,-0.545789,-0.939274,-1.051244,0.576097,16.18137,39.177082,40.692326,30.810556,-42.887192,-0.473744,-0.545789,-0.939274,-1.051244,0.576097,16.18137,39.177082,40.692326,30.810556,-42.887192,2
58,'2019/05/08 13:53:42:390',59,-0.780334,-2.054316,-2.261205,-1.846599,2.235969,12.439129,29.360182,36.283184,37.873291,12.647587,-0.780334,-2.054316,-2.261205,-1.846599,2.235969,12.439129,29.360182,36.283184,37.873291,12.647587,2
59,'2019/05/08 13:53:43:459',60,-0.953432,-0.933968,-0.701287,-1.123407,-0.776991,-0.124812,5.385173,27.900515,26.186583,43.560421,-0.953432,-0.933968,-0.701287,-1.123407,-0.776991,-0.124812,5.385173,27.900515,26.186583,43.560421,2
60,'2019/05/08 13:53:44:457',61,-0.052013,0.264755,-0.690355,0.91529,14.873281,22.270273,38.662704,37.306755,7.398547,-66.131317,-0.052013,0.264755,-0.690355,0.91529,14.873281,22.270273,38.662704,37.306755,7.398547,-66.131317,2
61,'2019/05/08 13:53:45:373',62,4.00127,2.968464,0.839977,-0.711032,-0.268151,-0.756292,-0.212905,1.117609,-0.493216,-2.079684,4.00127,2.968464,0.839977,-0.711032,-0.268151,-0.756292,-0.212905,1.117609,-0.493216,-2.079684,2
62,'2019/05/08 13:53:46:691',63,1.87383,1.017976,2.197376,1.593856,-0.286128,-0.486822,3.197105,25.050478,29.134069,44.337727,1.87383,1.017976,2.197376,1.593856,-0.286128,-0.486822,3.197105,25.050478,29.134069,44.337727,2
63,'2019/05/08 13:53:47:591',64,2.801451,1.388082,1.025337,0.348372,-1.141941,-0.986091,4.73473,20.496147,38.277199,47.069447,2.801451,1.388082,1.025337,0.348372,-1.141941,-0.986091,4.73473,20.496147,38.277199,47.069447,2
64,'2019/05/08 13:53:48:494',65,0.592033,1.390198,0.274199,-0.791057,0.025025,-0.16758,-0.799473,1.006452,13.068431,24.576269,0.592033,1.390198,0.274199,-0.791057,0.025025,-0.16758,-0.799473,1.006452,13.068431,24.576269,2
65,'2019/05/08 13:53:49:395',66,0.694579,0.389519,0.432801,1.188391,-0.208124,-2.600268,-2.623183,1.430091,18.049488,34.605991,0.694579,0.389519,0.432801,1.188391,-0.208124,-2.600268,-2.623183,1.430091,18.049488,34.605991,2
66,'2019/05/08 13:53:50:592',67,0.414778,0.223439,0.764953,0.37598,-0.808206,-0.161094,5.559665,24.885746,27.575594,52.693348,0.414778,0.223439,0.764953,0.37598,-0.808206,-0.161094,5.559665,24.885746,27.575594,52.693348,2
67,'2019/05/08 13:53:51:593',68,0.24164,-0.128063,-0.499274,0.198075,-0.36846,-0.54741,-0.893784,-1.126849,-1.536529,13.706914,0.24164,-0.128063,-0.499274,0.198075,-0.36846,-0.54741,-0.893784,-1.126849,-1.536529,13.706914,2
68,'2019/05/08 13:53:52:593',69,0.278159,0.724478,-1.535808,-1.708586,-1.688223,-0.963758,-0.071219,1.165353,13.404821,32.216488,0.278159,0.724478,-1.535808,-1.708586,-1.688223,-0.963758,-0.071219,1.165353,13.404821,32.216488,2
69,'2019/05/08 13:53:54:025',70,0.139286,2.99547,26.858021,33.952785,37.571232,5.388081,-43.928471,-34.859718,-37.872433,-29.670067,0.139286,2.99547,26.858021,33.952785,37.571232,5.388081,-43.928471,-34.859718,-37.872433,-29.670067,2
70,'2019/05/08 13:53:55:062',71,0.523849,0.952728,9.145326,37.683182,39.600243,26.716101,-26.889389,-59.516327,-45.111927,-35.742939,0.523849,0.952728,9.145326,37.683182,39.600243,26.716101,-26.889389,-59.516327,-45.111927,-35.742939,2
71,'2019/05/08 13:53:56:093',72,-0.519093,-0.277238,0.238275,0.108326,3.420435,12.199092,25.060713,48.739639,24.355658,-54.751411,-0.519093,-0.277238,0.238275,0.108326,3.420435,12.199092,25.060713,48.739639,24.355658,-54.751411,2
72,'2019/05/08 13:53:57:199',73,-0.135374,-0.532672,0.047171,1.286464,1.711184,2.511188,4.901761,18.926315,32.713535,41.204597,-0.135374,-0.532672,0.047171,1.286464,1.711184,2.511188,4.901761,18.926315,32.713535,41.204597,2
73,'2019/05/08 13:53:58:092',74,0.261934,-0.080047,-0.860893,-1.303868,-0.993756,4.440117,15.209559,45.817146,41.531399,-4.744514,0.261934,-0.080047,-0.860893,-1.303868,-0.993756,4.440117,15.209559,45.817146,41.531399,-4.744514,2
74,'2019/05/08 13:53:58:927',75,0.576207,-0.243805,-0.356069,-0.857914,1.486198,2.465465,11.953422,17.30751,31.715078,33.117313,0.576207,-0.243805,-0.356069,-0.857914,1.486198,2.465465,11.953422,17.30751,31.715078,33.117313,2
75,'2019/05/08 13:53:59:875',76,2.866147,1.441022,0.678531,0.585323,0.992924,0.715346,-0.34327,-0.04875,0.962297,0.483344,2.866147,1.441022,0.678531,0.585323,0.992924,0.715346,-0.34327,-0.04875,0.962297,0.483344,2
